,Brand,Color,Age Range (Description),Special Feature,Weight Limit,Number of Wheels,Model Name,Wheel Material,Frame Material,Item Weight,Handlebar Type,Handle Height,Wheel Size,Wheel Type,Suspension Type,Grip Type,Brake Style,Warranty Type,Charging Time,Product Dimensions,null,Item Package Dimensions L x W x H,Package Weight,Brand Name,Warranty Description,Material,Suggested Users,Manufacturer,Part Number,Style,Included Components,Size,Sport Type,Price,Product Name,Product Rating,Recommended Uses For Product,Package Dimensions,Country of Origin,ASIN,Item model number,Batteries,Best Sellers Rank,Customer Reviews,Department,Number of Items,Item Dimensions LxWxH,Model Year,Team Name,Hand Orientation,Grip Size,Batteries required,Import,Skill Level,Deck Length,Deck Width,Load Capacity,Rotation Direction,Number Of Items,Bike Type,Manufacturer recommended age,Vehicle Service Type,Pattern,Mounting Type,Strap Type,Capacity,Closure Type,Handle Type,Shell Type,Power Source,Resistance Mechanism,Maximum Weight Recommendation,Maximum Height,Minimum Height,Number of Resistance Levels,Number of Pieces,Exterior Finish,Handle Material,Unit Count,Theme,Is Discontinued By Manufacturer,Release date,Maximum height recommendation,Material Type,Additional product features
69,NAVIC,orange,,发光,132 Pounds,2,TS5,,,15.4 Pounds,Adjustable,,6.5 Inches,Solid,,,electric brake,,2 Hours,,,32.75 x 14.75 x 5.5 inches,8.12 Kilograms,NAVIC,Limited,Aluminum,Boys&Girls,Huizhou ELeven Technology Co; Ltd,TS5,,"electric scooter,charger,user manual",,,199,"NAVIC TS5 Electric Scooter for Kids, MAX 8.7mph by 110W Motor, Kids Electric Scooter with 6.5'' Solid Tires, Bluetooth Music and Rainbow Light, Approved UL Certificate for Kids Age 6-12 Ideal Gifts",5.0,,,,,,,,,,,33.07 x 5.51 x 14.17 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Gotrax,Black,Adult,"Digital Display, Dual Suspensions, Non Slip Deck, Lightweight, Foldable, Height Adjustable Seat, Carry Basket, Dual Drum Brakes",264 Pounds,2,Flex Ultra,Rubber,High strength steel,39.6 pounds,Adjustable,,,Solid,Dual Suspensions,,Dual Drum Brakes,365 Days,,"39.69""L x 19.6""W x 51.9""H",,,,,,,,"ZHE JIANG TAOTAO VEHICLES CO.,LTD",,,,,,499,"Gotrax FLEX ULTRA Electric Scooter with Seat for Adult, 25 Miles Range &20Mph Power by 500W Motor, 14"" Pneumatic Tire and Comfortable & Height Adujustable Seat, Wider Deck & Carry Basket for Commuting",4.2,"Cycling, Commuting",,China,B0C98P4Z29,FLEX ULTRA,1 Lithium Ion batteries required. (included),"#21,647 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#117 in Sport Scooters","4.2
45 ratings
4.2 out of 5 stars",Unisex-adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ENGWE,Black,Adult,"Seat, Lights, Foldable",120 Kilograms,2,S6,Rubber,Aluminum,55 Pounds,,,10 Inches,Caster,,,Mechanical brake,,,"43.3""L x 11.02""W x 43.31""H",37 Miles,,,ENGWE,1 Year,Aluminum,unisex-adult,ENGWE,,,Charger,,,579,"ENGWE Electric Scooter for Adults, 500W Motor (Max 700W) 48V 15.6AH Battery Up to 28 MPH & 37 Miles Long Range, 10"" Vacuum Tires Folding Electric Kick Scooter with Seat",4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,JGH,Vitality Orange,Adult,"Lights, Foldable",440 Pounds,2,X5,Rubber,Aluminum,,,,10 Inches,Pneumatic,,Ergonomic,"Front Braking, Rear Braking",,,"51""L x 11""W x 23""H",,51 x 23 x 11 inches,71 Pounds,JGH,,Aluminum,Unisex-adult,JGH,X5,X5 Max 37MPH,,,,899,"JGH X5/G1 Electric Scooter Adults Max 37/55 mph, 10"" Pneumatic Tire, Power by 1300/6000 W, Max 32/75 Miles Long Range Double Braking System Adult Electric Scooter with Smart APP NFC LCD Display",3.9,"Off Road, Commuting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,SeJaiminy,Grey,Adult,"Portable, Lights, Foldable",264.99 Pounds,2,H7,Rubber,Aluminum,25 Pounds,Adjustable,,8.5 Inches,Solid,Dual Suspension,,Front E-ABS Braking,Extended,3.5 Hours,,21 Miles,43.3 x 19.7 x 5.9 inches,15 Kilograms,SeJaiminy,"Provide a 6-12 month warranty for different components, with the first free replacement of vulnerable parts",Aluminum,Unisex-adult,"Shenzhen Huopingguo Technology Co., LTD.",H7-1,Commuting electric scooter,"One installation tool and four screws, An assembly of 80% scooters, An original factory charger, A detailed user guide","45*45*18""",,199,"Electric Scooter for Adults, Daily Commuting Kick Scooter, Max Range 21miles& Top Speed 19Mph. Portable Folding Commuting E-Scooter for Adults with Double Braking System and App",3.0,,,,,,,,,,1,43 x 17.7 x 0.43 inches,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Razor,Navy,8,,120 Pounds,2,13111141,Rubber,Alloy Steel,,Adjustable,22 Inches,8 Inches,"Solid,Pneumatic",Front Suspension,,"Hand-operated, caliper, front",,6 Hours,"32.5""L x 8""W x 16.75""H",10 Miles,33.5 x 16.61 x 8.19 inches,13.56 Kilograms,Razor,,Alloy Steel,,Razor,13111141,,,"32.5 x 8 x 16.75""",,173,"Razor E125 Kids Ride On 24V Motorized Battery Powered Electric Scooter Toy, Speeds up to 10 MPH with Brakes, and 8"" Pneumatic Tires for Ages 8+",4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1PLUS,Black,Adult,"Portable, Foldable",220 Pounds,2,1PLUS S10,Rubber,,28 Pounds,Adjustable,17 Inches,10 Inches,Solid,Dual Suspension,,,Limited,6 Hours,,17.5 Miles,44.3 x 20.2 x 6.5 inches,15.17 Kilograms,1PLUS,,,,"Shenzhen Grandpower New Energy Development Co.,Ltd",S10,,,,,399,"1PLUS Electric Scooter 10"" Solid Tires 500W Motor 19 Mph Speed Commuter E Scooter for Adults,Long-Range Battery,Smart,Foldable Commuting and Portable",,,,,,,,,,,,5 x 42 x 20 inches,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,EVERCROSS,Blue,Adult,,220 Pounds,2,,,,27.6 Pounds,,,8 Inches,,Dual Suspension,,,Limited,5 Hours,"41""L x 16.5""W x 42.5""H",15 Miles,38 x 16 x 7 inches,13.38 Kilograms,EVERCROSS,,Iron,Adults and Teenagers,,EV08S,,,,,239,"EVERCROSS Electric Scooter EV08S, Folding Electric Scooter for Adults with 8'' Honeycomb Tires, 350W Up to 15 MPH & 12-15 Miles E-Scooter, Adult Electric Scooter with 3 Speed Modes",& FREE Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Kugookirin,G3/1200W/18AH,Adult,Foldable,220 Pounds,2,G3,Rubber,Aluminum,25 Kilograms,Adjustable,39.36 Inches,10.5 Inches,Solid,Dual Suspension,,Dual DISC Braking,,10 Hours,"50""L x 26""W x 47""H",40 Miles,47 x 23.5 x 11 inches,30.84 Kilograms,Kugookirin,12 months,Aluminum,Unisex-adult,"Shenzhen RND Electronics Co., Ltd",,Off Road Electric Scooter,Scooter,1200*1290*660mm,Scooter,799,"Electric Scooter, Kugookirin G3 Electric Scooter for Adults 1200W Powerful Motor Up to 31 mph, 10.5"" Off Road Tires 52V/18Ah Large Capacity, Folding Fast e Scooter for Adult",4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,DailySports,Black,Adult,"Digital Display, Adjustable Handlebar Height, Wide Platform, Foldable",350 Pounds,2,Q30,Rubber,,77 Pounds,Adjustable,43 Inches,11 Inches,Solid,Dual Suspension,,Dual braking,,10 Hours,"51.18""L x 14.5""W x 44""H",37 Miles,,,DailySports,"Provide 6-12 months warranty on different parts (including motor, battery, motor, charger, controller, voltage lock). And we provide 7*24 hours fast after-sales service and 60-day refund policy.",Aluminum,"Unisex-Adult, Youth","Shenzhen Lvdaoxing Technology Co.,Ltd",,48V16Ah(max 37 miles),E-Scooter: 1PC/ Charger: 1Pc/ Manual: 1Pc/ Screws & Wrench: 1set/ Lock: 1Pc/ Brake pads: 1 Set.,48V16Ah(max 37 miles),,949,"Electric Scooter for Adults 2500W Motor 48V16AH High-Capacity Battery Up to 37 Miles Range & 35 MPH, Scooter Electric for Adults Dual Braking System & Dual Spring Shock Absorber",4.3,,,,,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,MEGAWHEELS,A-Black-a-7.5Ah,Adult,"Rechargable, Lightweight, Folding, LCD-Display, Digital-display",265 Pounds,2,S10 Electric Scooter 7.5Ah,Rubber,Aluminum,26.7 Pounds,,3.9 Feet,8 Inches,Honeycomb airless tyres,Dual Suspension,,Electric Brake + Mechanical Brake,,5 Hours,"40.9""L x 16.9""W x 46.4""H",17 Miles,42 x 17 x 8 inches,12.41 Kilograms,MEGAWHEELS,Limited Warranty,Aluminum,"Unisex, women, men, teen",shenzhen leqi intelligent technology Co ltd,S10,,Electric Scooter,,Scooter,281,"MEGAWHEELS Electric Scooter, 3 Gears, Max Speed 15.5MPH, 12-17 Miles Rang 7.5Ah/5.0 Ah Powerful Battery with 8'' Tires Foldable Electric Scooter for Adults, Teens, Kids, Load 220-265 lbs",& FREE Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Gotrax,Purple,Kids,"Non Slip Deck, Adjustable Handlebar Height, Light Up Wheels",100 Pounds,3,KS1,,,5.7 Pounds,Adjustable,,4.5 Inches,Solid,,,Rear Braking,Limited,,,,23.6 x 9 x 4.8 inches,2.99 Kilograms,Gotrax,1 year warranty,Aluminum,Boys & girls,"Shenzhen Baike New Energy Co., Ltd.",KS1,Purple,"User Manual, KS1 Scooter",,,30,"Gotrax KS1/KS3 Kids Kick Scooter, LED Lighted Wheels and 3Adjustable Height Handlebars, Lean-to-Steer & Widen Anti-Slip Deck, 3 Wheel Scooter for Boys & Girls Ages 2-8 and up to 100 Lbs",Total price:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Razor,Matte Grey,Adult; Teen,Rechargeable,220 Pounds,2,E300 Electric Scooter,Alloy Steel,Alloy Steel,19.5 Kilograms,Fixed,25 Inches,10 Inches,"Solid,Pneumatic",Dual Suspension,,Rear Braking,,12 Hours,"42.5""L x 16.5""W x 40""H",14.91 Miles,39.57 x 20.08 x 9.06 inches,22.3 Kilograms,Razor,90 Day Razor,Metal & Plastic,Unisex-adult,"Razor USA, LLC",13113614,Standing Ride (E300),E300 Electric Scooter,41 x 17 x 42-Inch,,303,Razor 13113614 E300 Electric Scooter,4.3,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,JOYOR,S10-Dual 1000W Motor,Adult,Foldable,265 Pounds,2,S10-S,Aluminum,,59.5 Pounds,,39 Inches,10 Inches,Aluminum alloy wheels,Dual Suspension,,Rear Braking,Limited,12 Hours,"48""L x 24""W x 48""H",54 Miles,48.5 x 21 x 10 inches,34.02 Kilograms,JOYOR,"3 months - 1 year warranty for different parts, please refer to the user manual for details.",Aluminum,Unisex-adult,"Anhui Fu Yuan Mechanical And Electrical Technology Co.,Ltd",,S10-S 2000W,"Electric scooters, instructions, installation tools",,,999,"JOYOR S Electric Scooter，Dual 1000W Motor Scooter for Adults，Up to 37 Mph & 53 Miles Long Range 265 Lbs 10"" Tires Hydraulic Brake Adults Electric Scooter",3.7,,,,,,,,,,1,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Bgyzmsm,Gold,Adult,"Portable, Non Slip Deck, Lights",330 Pounds,2,SX10,Rubber,Carbon Steel,40 Kilograms,Adjustable,,10 Inches,Solid,Dual Suspension,,Mechanical disc brake,,6 Hours,,60 Miles,,,Bgyzmsm,3 months - 1 year warranty for different parts,Alloy Steel,Unisex-adult,LEOOUT,,,"Instruction manual, Toolkit, Charger",,,998,"LEOOUT Electric Scooter 2800w Motor, 60 Miles Long Range & 40 MPH Speed, Upgraded 52V 25AH Battery, 10'' Heavy Duty Off-Road Tire, Electric Scooter for Adults",& FREE Shipping,,,,,,,,,,,50 x 25.39 x 50 inches,,ELECTRIC SCOOTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,Black & Grey,,,,,Segway Ninebot E2 Electric KickScooter.,,,29.8 Pounds,,,,,,,,,,,,42.8 x 17.2 x 5.5 inches,18.44 Kilograms,Segway,1 year manufacturer,Automotive grade SPFH590 steel,Unisex-adult,"Ninebot (Changzhou) Tech Co., Ltd",051401U,E2,"scooter, charger, accessory box",E2,,489.,"Segway Ninebot E2/E2 Plus/ES1L Electric KickScooter - 250W-300W Motor, 12.4-15.5 Mi Range & 12.4-15.5 MPH, 8.1-inch Inner Hollow Tires, Cruise Control, Electric Commuter Scooter for Adults","An attractive, but very basic electric scooter",,,,,,,,,,,42.1 x 17.5 x 44.9 inches,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Jetson,Blue,Kid,Lights,120 Pounds,2,Jetson Echo X E-Scooter Blue,Polyurethane,Alloy Steel,20 Pounds,Adjustable,35.4 Inches,,Solid,Rear Suspension,,Rear Braking,Limited,8 Hours,,6 Miles,30.75 x 13.75 x 7.75 inches,9.3 Kilograms,Jetson,1 year limited,Alloy Steel,Unisex-teen,Jetson,,,"Battery, Assembly Tools, Manual, charger",,,99,Jetson Echo Kids Electric Scooter,3.7,,,,,,,,,,,29.5 x 18.1 x 35.4 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Kikpop,27 MPH & 28 Miles,Adult,"Anti-Puncture Tire, Lights, Lightweight, Speedometer, Adjustable Handlebar Height",200 Kilograms,2,G3,Rubber,Alloy Steel,25 Kilograms,Adjustable,50 Inches,10 Inches,Pneumatic,Dual Suspension,Ergonomic,"Front Braking, Rear Braking",Limited,8 Hours,,45 Kilometers,,,Kikpop,,"Aluminum, Alloy Steel",Unisex-adult,"Dongguan Lvkang Energy Saving Technology Co., LTD",,Off road electric scooter without seat,"Electric scooter, Rear Fender, Installation Tool Kit, User's Manual, Charger",,,699,"Electric Scooter Adults with 1200W Motor, Up to 30 MPH & 30-35 Miles, 10"" Heavy Duty Vacuum Off-Road Tire, Disc Braking, Electric Scooter Without Seat for Adult Teens Commuter",5.0,"Off Road, Commuting",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,BAYKUL,Black,Adult,"Digital Display, Seat, Non Slip Deck, Lights, Foldable",23.6 Kilograms,2,,Rubber,,,,,10 Inches,Solid,Dual Suspension,,"Front Braking, Rear Braking",,,,34 Miles,,,BAYKUL,"Provide 6-12 months warranty on different parts (including motor, battery, motor, charger, controller, voltage lock). And we provide 7*24 hours fast after-sales service and 60-day refund policy.",Aluminum,Unisex-adult,"Shenzhen Huopingguo Technology Co., LTD",,,,10,,599,"Electric Scooter with Seat 800W, Adult Electric Scooter 28 Mph Max Speed & 31 Miles Max Range, 10"" Solid Tires, Dual Disc Brakes, 330 Lbs Load",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,NIU,KQi3 Max Black,Adult,"Portable, Foldable",265 Pounds,2,KQi3 Max,Rubber,Aluminum,20.3 Kilograms,Adjustable,,9.5 Inches,Self-healing tubeless tires,Dual Suspension,,Front disc brake & rear disc brake EBS,Limited,8 Hours,,40 Miles,47.24 x 22.83 x 10.63 inches,24.6 Kilograms,NIU,2,Aluminum,Unisex-adult,NIU,KQi3 Max,KQi3 Max Black,1,KQi3 Max,,843,"NIU KQi3 Max Electric Scooter, Portable, Folding , 450W Power, 40 Miles Long Range, Max Speed 23.6MPH, 25% Hill Climbing, 265lbs Max Load, Self-Healing Tires for Adults, UL Certified",4.0,,,,,,,,,,,552 x 21 x 47 inches,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,5TH WHEEL,Gray,Adult; Teen,"Non Slip Deck, Lightweight, Cruise Control, Foldable, Lockable",220 Pounds,2,5LCHM11U,Rubber,Aluminum,31 Pounds,Fixed,,8 Inches,Solid,,Ergonomic,"Front Braking, Rear Braking",Limited,4 Hours,"41.5""L x 16.9""W x 18.7""H",13.7 Miles,42.95 x 18.45 x 7.35 inches,17.6 Kilograms,5TH WHEEL,12-month Warranty,Aluminum,Unisex-adult,"Solowii (Beijing) Technology Development Co., Ltd.",5LCHM11U,M1/13.7 Miles/15.5 Mph,"User Manual, Electric Scooter, Charger, Tool Kit",,Skateboarding,319,"5TH WHEEL M1 Electric Scooter - 13.7 Miles Range & 15.5 MPH, 500W Peak Motor, 8"" Inner-Support Tires, Triple Braking System, Foldable Electric Scooter for Adults and Teens, iF Design Award Winner",4.2,Commuting,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,5TH WHEEL,Gray,Adult,Foldable,265 Pounds,2,5LCHG11U,Rubber,Aluminum,43 Pounds,Fixed,,10 Inches,Pneumatic,Dual Suspension,Ergonomic,Front Braking,Limited,,,,47.91 x 22.2 x 8.94 inches,23.5 Kilograms,5TH WHEEL,1 year,Aluminum,unisex-adult,"Solowii (Beijing) Technology Development Co., Ltd.",5LCHG11U,G1 Pro,5TH WHEEL G1 Pro Electric Scooter,10x3Inch,,499,"5TH WHEEL G1 Pro Electric Scooter for Adults, 500W Motor Foldable Electric Scooters, Up to 19Mph & 24.8 Mile Range, 10*3"" Off-road Fat Tires, Electric Scooter Adult with App and Hidden Folding System",5.0,Commuting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,NAVEE,Gray,Adult,"App Control, Wide Platform",220 Pounds,2,N40,Aluminum,Aluminum,32 Pounds,Fixed,20.8 Inches,9.98 Inches,Pneumatic,Dual Suspension,Ergonomic,EABS + Rear Disc Braking,Limited,,,30 Mils,46 x 20.5 x 9 inches,18.14 Kilograms,NAVEE,One-year or 180-day for different parts,Aluminum,unisex-adult,"Brightway Innovation Intelligent Technology (Suzhou) Co., Ltd.",NKP21111-A30,commuting electric scooter,electric scooter,,"Travel, Cycling, Outdoor, Fishing, Commuting",479,"NAVEE Electric Scooter N40/N65 Series,600W-800W Motor MAX Power, Up to 25-40 Miles Range & 19-20 MPH,10'' Pneumatic, IP55/IPX4 Waterproof,E-Scooter for Adults",4.3,,,,,,,,,,1,44.7 x 19.7 x 46.1 inches,2022,Naveetech N40 Electric Scooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Efoee,Grey(max 28 miles),Adult,Foldable,350 Pounds,2,G3,Rubber,Aluminum,55 Pounds,Adjustable,50.78 Inches,11 Inches,Pneumatic,Dual Suspension,,Dual disc braking,,8 Hours,,28 Miles,46.2 x 22.63 x 9.84 inches,68.3 Pounds,Efoee,"Provide 6-12 months warranty on different parts (including motor, battery, motor, charger, controller, voltage lock). And we provide 7*24 hours fast after-sales service and 60-day refund policy.",Aluminum,Unisex-adult,"Dongguan Zhongzhe Intelligent Technology Co., Ltd.",G3,G3(1200W 52V18AH),"G3 Electric scooter, Charger, Manual, Screws & Wrench",,Skateboarding,699,"Electric Scooter Adults 30 MPH, Powerful 1200W Motor Foldable Kick Scooter Up to 28-37 Miles, 10"" Tires Sports Scooter Commuting Electric Scooter, Double Shock Absorption and HD LCD Touch",5.0,,,,,,,,,,,47.24 x 25.98 x 50.77 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,DEAKY SPORTS,Black,Adult,"Non Slip Deck, Wide Platform, Foldable",100 Kilograms,2,H10,Rubber,Alloy Steel,12.5 Kilograms,Fixed,45 Inches,8.5 Inches,Solid,Rear Suspension,Lock-On,Front Braking,Limited,4 Hours,"42""L x 14""W x 45""H",35 Kilometers,44.49 x 21.26 x 12.6 inches,15 Kilograms,DEAKY SPORTS,,Alloy Steel,,"DONGGUAN SHIWEI TECHNOLOGY CO.,LTD.",H10,Daily Commuting tool,"Install Tools, Manual, Electric Scooter, Handbar Bag",,,249,"Electric Scooter for Adults, 350W Motor 36V/10Ah Lithium Up to 19 MPH & 21 Miles Long Range, 8.5"" Honeycomb Tires Foldable and Portable Cruise Control Commuter Scooter for Adults",4.1,Commuting,,,,,,,,Unisex-adult,,,,DEAKY SPORTS,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Caroma,E32-Bright Black,Little Kid,"UL2272 Certification, Adjustable Handlebar Height, lightweight",110 Pounds,2,,Polyurethane,,,Adjustable,31.9 Inches,5 Inches,Solid,,Ergonomic,Rear Braking,,,"27""L x 13.8""W x 32""H",6 Miles,30.5 x 12.1 x 6.9 inches,12.13 Pounds,Caroma,,,boys,"Guangdong Qiude Health Technology Co., Limited",,,"Scooter Charger, Kids Electric Scooter, Installation Tools",27.6x13.8x31.9 inch,,89,"Caroma Electric Scooter for Kids Ages 6-12, 120W Kids Electric Scooter, Max 6 Miles & 6 MPH, Adjustable Height, Kick-Start Boost, Colorful Lights, Lightweight Electric Scooter for Kids Boy Girl",& FREE Shipping,Commuting,,,,,,,,,,,,,,"13.8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Caroma,E32-Bright Black,Little Kid,"Lightweight, UL2272 Certification, Adjustable Handlebar Height",110 Pounds,2,,Polyurethane,,,Adjustable,31.9 Inches,5 Inches,Solid,,Ergonomic,Rear Braking,,,"27""L x 13.8""W x 32""H",6 Miles,30.5 x 12.1 x 6.9 inches,12.13 Pounds,Caroma,,,Boys,"Guangdong Qiude Health Technology Co., Limited",,,"Scooter Charger, Kids Electric Scooter, Installation Tools",27.6x13.8x31.9 inch,,89,"Caroma Electric Scooter for Kids Ages 6-12, 120W Kids Electric Scooter, Max 6 Miles & 6 MPH, Adjustable Height, Kick-Start Boost, Colorful Lights, Lightweight Electric Scooter for Kids Boy Girl",& FREE Shipping,Commuting,,,,,,,,,,,,,,"13.8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Movitip,Black,Adult,Foldable,26 Kilograms,2,G3,Rubber,,25 Kilograms,Adjustable,,10.5 Inches,Vacuum Tire,Dual Suspension,,Rear Braking,,10 Hours,,,46.5 x 23.5 x 11.5 inches,32.21 Kilograms,Movitip,,Aluminum,Unisex-adult,"Shenzhen RND Electronics Co., Ltd",,,,,,799,"Electric Scooter Adults Powerful 1200W Motor Up to 31 MPH 10.5"" Off Road Tires 52V/18Ah Large Capacity Battery Dual Brake&Shock Absorption System",4.3,,,,,,,,,,,50 x 26 x 11.4 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,OKAI,Pink,Teen; Kid; Adult,"Anti-Puncture Tire, Digital Display, Non Slip Deck, Lightweight, Foldable",165 Pounds,2,,Rubber,Aluminum,29.7 Pounds,Fixed,,7.98 Inches,Solid,Spring suspension,,Rear Braking,,3.5 Hours,"36.5""L x 19.7""W x 43.1""H",12.4 Miles,39.3 x 23.2 x 8.4 inches,18.03 Kilograms,OKAI,,Alloy Steel,,ZHEJIANG OKAI VEHICLE CO LTD,,,,,,279,"OKAI ES50B Electric Scooter | Entry-Level E Scooter - 12.4 Miles Range | 15.5mph Top Speed - Lightweight and Foldable Electric Kick Scooter for Teens, Adults & Kids",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,M YUME SCOOTER,Black/52V/2400W/23.4AH/Oil Brakes,Adult,"Seat, Dual Braking System, Adjustable Handlebar Height, Foldable, Dual Charging Port",330 Pounds,2,Y10,Alloy Steel,Alloy Steel,81 Pounds,Adjustable,,10 Inches,Tubeless Tires,Dual Suspension,,"Front Braking, Rear Braking",,8 Hours,"46""L x 9""W x 54""H",40 Miles,50.16 x 20.25 x 13.75 inches,45.81 Kilograms,M YUME SCOOTER,180 Days,Aluminum,Mens,"SHENZHEN YUNMI INTELLIGENT TECHNOLOGY CO., LTD.",,YMY10 40Miles,"Multi-tool, Voltage keys, Chargers, Bag, Inflater",,,"1,210","M YUME Scooter Y10 Adult Electric Scooter Double Suspensions Dual Motor 23.4AH Battery 52V 2400W 40 MPH 40 Miles Fast Sports Scooter 10"" Off Road 330lbs Max Load Folding Scooter",4.3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,SeJaiminy,Black,Adult,Foldable,150 Kilograms,2,Huopingguo,Rubber,,21 Kilograms,Adjustable,,10 Inches,Solid,"dual,rear suspension",,Front Braking,,7 Hours,,40 Kilometers,,,SeJaiminy,1 year,Alloy Steel,unisex-adult,"Shenzhen Huopingguo Technology Co., LTD.",,Sport,"Electric scooter, Charge, User manual",,,599,"Electric Scooter for Adults, City Commuting Kick Scooter 800W Motor Up to 30 MPH & 35 Miles Range 10"" Solid Tires Dual Disk Brake System & Shock Absorption Folding Commuter E-Scooter with Seat",4.0,,,,,,,,,,,45.27 x 15 x 47.24 inches,2023,Electric scooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Caroma,E32 120W Matt Black,Kids,Rechargable,110 Pounds,2,E32,Rubber,,12.6 Pounds,Adjustable,31.9 Inches,5 Inches,Solid,,,Rear Braking,,,"27.6""L x 13.8""W x 31.9""H",6 Mils,30.5 x 12.1 x 6.9 inches,12.8 Pounds,Caroma,,,Unisex,"Guangdong Qiude Health Technology Co., Limited",,,"1x Tool Kit, 1x Electric Scoote, 1x Charger, 1x User Manual",E32 120W,,59,"Caroma E32/E35 Electric Scooter for Kids Ages 6-12, Kids Electric Scooter with Adjustable Height & Speed 120W/150W, Up to 6-10Mph & 7 Miles, Kids Scooter with Deck Lights (Optional LED Display)",4.7,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,IVETA,black,Adult,"Digital Display, Adjustable Handlebar Height, Foldable",220 Pounds,2,S20,Rubber,,31.5 Pounds,,,8.5 Inches,Solid,Front Suspension,,Front Braking,,4 Hours,"20""L x 5.9""W x 42""H",25 Mils,,,IVETA,,Aluminum,unisex-adult,"Shenzhen Grandpower New Energy Development Co.,Ltd",S20,,"Scooter, charger",Black,,299,"Electric Scooter-8.5"" Solid Tires,18/20 Miles Range,19Mph Power by 450W Motor,Double Anti-Theft Lock and Cruise Control for Foldable Commuter E-Scooter for Adult",Total price:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Kugookirin,G2max/1000W/20AH,Adult,"Foldable, Seat",264 Pounds,2,G2max,Rubber,,31 Kilograms,Adjustable,,10 Inches,Pneumatic,Dual Suspension,,Front Braking,,10 Hours,"49.6""L x 23.8""W x 51.2""H",50 Miles,49.61 x 23.82 x 22.83 inches,36 Kilograms,Kugookirin,12 months,Aluminum,unisex-adult,"Shenzhen Teamgee Electronics Co.,Ltd",,,"Scooter*1, Charger*1, Manual*1, Tool kit*1, Seat*1, Screws",,,849,"KUKIRIN G2 Max Electric Scooter with Seat, Powerful 1000W Motor, 35 MPH Max Speed, 50 Miles Range, 48V/20Ah Large Capacity Battery, Dual Brake Folding Fast e Scooter for Adult",4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
